"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Study accession","PubMed ID","First Author",Location
rs12055046-<b>?</b>,"1 x 10-11",,NR,'-,'-,'-,"BCLAF1P1, AC008782.1","Atopic asthma","atopic asthma",GCST009850,31669095,"Zhu Z",5:110933992
rs41267086-<b>?</b>,"6 x 10-12",,NR,'-,'-,'-,"EHMT2, EHMT2-AS1","Atopic asthma","atopic asthma",GCST009850,31669095,"Zhu Z",6:31879859
rs2596544-<b>?</b>,"7 x 10-14",,NR,'-,'-,'-,"AL671883.2, DHFRP2","Atopic asthma","atopic asthma",GCST009850,31669095,"Zhu Z",6:31361514
rs34492353-<b>?</b>,"1 x 10-13",,NR,'-,'-,'-,NFKBIL1,"Atopic asthma","atopic asthma",GCST009850,31669095,"Zhu Z",6:31552881
rs9268813-<b>?</b>,"8 x 10-15",,NR,'-,'-,'-,"HLA-DRA, HLA-DRB9","Atopic asthma","atopic asthma",GCST009850,31669095,"Zhu Z",6:32456817
rs13197384-<b>?</b>,"2 x 10-9",,NR,'-,'-,'-,"LINC00271, AHI1","Atopic asthma","atopic asthma",GCST009850,31669095,"Zhu Z",6:135497759
rs2245214-<b>?</b>,"4 x 10-11",,NR,'-,'-,'-,ATG5,"Atopic asthma","atopic asthma",GCST009850,31669095,"Zhu Z",6:106214866
rs34744948-<b>?</b>,"4 x 10-11",,NR,'-,'-,'-,"NCR3, UQCRHP1","Atopic asthma","atopic asthma",GCST009850,31669095,"Zhu Z",6:31594990
rs12212193-<b>?</b>,"2 x 10-20",,NR,'-,'-,'-,BACH2,"Atopic asthma","atopic asthma",GCST009850,31669095,"Zhu Z",6:90287050
rs17843580-<b>?</b>,"4 x 10-31",,NR,'-,'-,'-,"HLA-DQB1, HLA-DQA1","Atopic asthma","atopic asthma",GCST009850,31669095,"Zhu Z",6:32647774
rs34104805-<b>?</b>,"1 x 10-13",,NR,'-,'-,'-,"HLA-DRB1, HLA-DQA1","Atopic asthma","atopic asthma",GCST009850,31669095,"Zhu Z",6:32621440
rs3132954-<b>?</b>,"3 x 10-11",,NR,'-,'-,'-,"TSBP1-AS1, TSBP1","Atopic asthma","atopic asthma",GCST009850,31669095,"Zhu Z",6:32343682
rs73730377-<b>?</b>,"2 x 10-23",,NR,'-,'-,'-,"HLA-DRB1, HLA-DQA1","Atopic asthma","atopic asthma",GCST009850,31669095,"Zhu Z",6:32617103
rs3997868-<b>?</b>,"1 x 10-13",,NR,'-,'-,'-,"HLA-DRB1, HLA-DQA1","Atopic asthma","atopic asthma",GCST009850,31669095,"Zhu Z",6:32610813
rs74209703-<b>?</b>,"5 x 10-10",,NR,'-,'-,'-,"TSBP1, TSBP1-AS1","Atopic asthma","atopic asthma",GCST009850,31669095,"Zhu Z",6:32313239
rs542418-<b>?</b>,"3 x 10-8",,NR,'-,'-,'-,SLC44A4,"Atopic asthma","atopic asthma",GCST009850,31669095,"Zhu Z",6:31868665
rs2517690-<b>?</b>,"7 x 10-9",,NR,'-,'-,'-,"HLA-W, MICD","Atopic asthma","atopic asthma",GCST009850,31669095,"Zhu Z",6:29961296
rs12196740-<b>?</b>,"3 x 10-8",,NR,'-,'-,'-,HLA-B,"Atopic asthma","atopic asthma",GCST009850,31669095,"Zhu Z",6:31353630
rs41288885-<b>?</b>,"9 x 10-10",,NR,'-,'-,'-,"AL662789.1, MTCO3P1","Atopic asthma","atopic asthma",GCST009850,31669095,"Zhu Z",6:32717421
rs35449774-<b>?</b>,"3 x 10-11",,NR,'-,'-,'-,"HLA-DPA1, HLA-DOA","Atopic asthma","atopic asthma",GCST009850,31669095,"Zhu Z",6:33063835
rs3130160-<b>?</b>,"9 x 10-11",,NR,'-,'-,'-,"HCG24, COL11A2","Atopic asthma","atopic asthma",GCST009850,31669095,"Zhu Z",6:33157195
rs3116995-<b>?</b>,"6 x 10-9",,NR,'-,'-,'-,"HLA-DPB2, HLA-DPA3","Atopic asthma","atopic asthma",GCST009850,31669095,"Zhu Z",6:33130274
rs11751024-<b>?</b>,"5 x 10-24",,NR,'-,'-,'-,"HLA-DRB1, HLA-DQA1","Atopic asthma","atopic asthma",GCST009850,31669095,"Zhu Z",6:32618459
rs41263828-<b>?</b>,"1 x 10-10",,NR,'-,'-,'-,HLA-DQB1,"Atopic asthma","atopic asthma",GCST009850,31669095,"Zhu Z",6:32665218
rs2647003-<b>?</b>,"3 x 10-13",,NR,'-,'-,'-,"MTCO3P1, HLA-DQB1","Atopic asthma","atopic asthma",GCST009850,31669095,"Zhu Z",6:32697103
rs7770794-<b>?</b>,"1 x 10-8",,NR,'-,'-,'-,"IPCEF1, AL357075.4","Atopic asthma","atopic asthma",GCST009850,31669095,"Zhu Z",6:154306689
rs151027268-<b>?</b>,"2 x 10-8",,NR,'-,'-,'-,AL669918.1,"Atopic asthma","atopic asthma",GCST009850,31669095,"Zhu Z",6:32821623
rs2229094-<b>?</b>,"3 x 10-9",,NR,'-,'-,'-,LTA,"Atopic asthma","atopic asthma",GCST009850,31669095,"Zhu Z",6:31572779
rs28559870-<b>?</b>,"2 x 10-8",,NR,'-,'-,'-,"MICA, AL645933.5","Atopic asthma","atopic asthma",GCST009850,31669095,"Zhu Z",6:31410197
rs9266289-<b>?</b>,"4 x 10-8",,NR,'-,'-,'-,"DHFRP2, AL671883.2","Atopic asthma","atopic asthma",GCST009850,31669095,"Zhu Z",6:31360979
rs41273040-<b>?</b>,"6 x 10-9",,NR,'-,'-,'-,MICB,"Atopic asthma","atopic asthma",GCST009850,31669095,"Zhu Z",6:31507279
rs41285280-<b>?</b>,"6 x 10-15",,NR,'-,'-,'-,PTPRK,"Atopic asthma","atopic asthma",GCST009850,31669095,"Zhu Z",6:127970504
rs3819720-<b>?</b>,"3 x 10-8",,NR,'-,'-,'-,"TAP2, AL669918.1","Atopic asthma","atopic asthma",GCST009850,31669095,"Zhu Z",6:32836793
rs2904789-<b>?</b>,"5 x 10-11",,NR,'-,'-,'-,AL645933.4,"Atopic asthma","atopic asthma",GCST009850,31669095,"Zhu Z",6:31484655
rs443863-<b>?</b>,"6 x 10-9",,NR,'-,'-,'-,"NOTCH4, TSBP1-AS1","Atopic asthma","atopic asthma",GCST009850,31669095,"Zhu Z",6:32233814
rs2390314-<b>?</b>,"7 x 10-9",,NR,'-,'-,'-,"ITGB8, EEF1A1P27","Atopic asthma","atopic asthma",GCST009850,31669095,"Zhu Z",7:20416355
rs78823938-<b>?</b>,"5 x 10-9",,NR,'-,'-,'-,JAZF1,"Atopic asthma","atopic asthma",GCST009850,31669095,"Zhu Z",7:28101332
rs1012177-<b>?</b>,"4 x 10-9",,NR,'-,'-,'-,"STEAP1B, AC002480.1","Atopic asthma","atopic asthma",GCST009850,31669095,"Zhu Z",7:22571094
rs35621564-<b>?</b>,"7 x 10-10",,NR,'-,'-,'-,"EEF1A1P27, ITGB8","Atopic asthma","atopic asthma",GCST009850,31669095,"Zhu Z",7:20547220
rs13263709-<b>?</b>,"1 x 10-16",,NR,'-,'-,'-,AC034114.2,"Atopic asthma","atopic asthma",GCST009850,31669095,"Zhu Z",8:80374940
rs117137535-<b>?</b>,"3 x 10-8",,NR,'-,'-,'-,"AL590627.3, ARRDC1","Atopic asthma","atopic asthma",GCST009850,31669095,"Zhu Z",9:137605991
rs2159778-<b>?</b>,"2 x 10-10",,NR,'-,'-,'-,TRAF1,"Atopic asthma","atopic asthma",GCST009850,31669095,"Zhu Z",9:120915851
rs3003612-<b>?</b>,"1 x 10-8",,NR,'-,'-,'-,DNM1,"Atopic asthma","atopic asthma",GCST009850,31669095,"Zhu Z",9:128226337
rs66632892-<b>?</b>,"4 x 10-13",,NR,'-,'-,'-,"AK4P4, KIAA2026","Atopic asthma","atopic asthma",GCST009850,31669095,"Zhu Z",9:5866925
rs41280733-<b>?</b>,"1 x 10-9",,NR,'-,'-,'-,"RIC1, ERMP1","Atopic asthma","atopic asthma",GCST009850,31669095,"Zhu Z",9:5765648
rs10975660-<b>?</b>,"7 x 10-9",,NR,'-,'-,'-,GLDC,"Atopic asthma","atopic asthma",GCST009850,31669095,"Zhu Z",9:6583518
rs76962799-<b>?</b>,"1 x 10-26",,NR,'-,'-,'-,"GTF3AP1, AL162384.1","Atopic asthma","atopic asthma",GCST009850,31669095,"Zhu Z",9:6187132
rs2169287-<b>?</b>,"2 x 10-31",,NR,'-,'-,'-,"TPD52L3, SELENOTP1","Atopic asthma","atopic asthma",GCST009850,31669095,"Zhu Z",9:6305904
rs149045797-<b>?</b>,"1 x 10-12",,NR,'-,'-,'-,IL33,"Atopic asthma","atopic asthma",GCST009850,31669095,"Zhu Z",9:6252690
rs45613035-<b>?</b>,"5 x 10-16",,NR,'-,'-,'-,KIAA1109,"Atopic asthma","atopic asthma",GCST009850,31669095,"Zhu Z",4:122219915
rs62324212-<b>?</b>,"1 x 10-14",,NR,'-,'-,'-,IL21-AS1,"Atopic asthma","atopic asthma",GCST009850,31669095,"Zhu Z",4:122639784
rs1479924-<b>?</b>,"9 x 10-13",,NR,'-,'-,'-,"IL21, IL2","Atopic asthma","atopic asthma",GCST009850,31669095,"Zhu Z",4:122466445
rs10021288-<b>?</b>,"8 x 10-19",,NR,'-,'-,'-,"AC097533.1, RN7SL335P","Atopic asthma","atopic asthma",GCST009850,31669095,"Zhu Z",4:122084379
rs151275015-<b>?</b>,"5 x 10-8",,NR,'-,'-,'-,ADAD1,"Atopic asthma","atopic asthma",GCST009850,31669095,"Zhu Z",4:122387310
rs6847640-<b>?</b>,"9 x 10-15",,NR,'-,'-,'-,"RNA5SP158, KLF3","Atopic asthma","atopic asthma",GCST009850,31669095,"Zhu Z",4:38745467
rs13107091-<b>?</b>,"3 x 10-8",,NR,'-,'-,'-,"RNA5SP158, TLR10","Atopic asthma","atopic asthma",GCST009850,31669095,"Zhu Z",4:38766666
rs1023518-<b>?</b>,"7 x 10-14",,NR,'-,'-,'-,"AC116366.3, IRF1-AS1","Atopic asthma","atopic asthma",GCST009850,31669095,"Zhu Z",5:132458080
rs1457115-<b>?</b>,"5 x 10-13",,NR,'-,'-,'-,CAMK4,"Atopic asthma","atopic asthma",GCST009850,31669095,"Zhu Z",5:111231900
rs2289278-<b>?</b>,"8 x 10-12",,NR,'-,'-,'-,TSLP,"Atopic asthma","atopic asthma",GCST009850,31669095,"Zhu Z",5:111073450
rs149205188-<b>?</b>,"1 x 10-9",,NR,'-,'-,'-,WDR36,"Atopic asthma","atopic asthma",GCST009850,31669095,"Zhu Z",5:111096578
rs4594881-<b>?</b>,"1 x 10-13",,NR,'-,'-,'-,"IL7R, AC137810.1","Atopic asthma","atopic asthma",GCST009850,31669095,"Zhu Z",5:35846713
rs72799426-<b>?</b>,"2 x 10-8",,NR,'-,'-,'-,CCNI2,"Atopic asthma","atopic asthma",GCST009850,31669095,"Zhu Z",5:132748537
rs16903574-<b>?</b>,"2 x 10-9",,NR,'-,'-,'-,OTULINL,"Atopic asthma","atopic asthma",GCST009850,31669095,"Zhu Z",5:14610200
rs20541-<b>?</b>,"1 x 10-21",,NR,'-,'-,'-,"TH2LCRR, IL13","Atopic asthma","atopic asthma",GCST009850,31669095,"Zhu Z",5:132660272
rs2243297-<b>?</b>,"4 x 10-10",,NR,'-,'-,'-,TH2LCRR,"Atopic asthma","atopic asthma",GCST009850,31669095,"Zhu Z",5:132663479
rs10455052-<b>?</b>,"1 x 10-12",,NR,'-,'-,'-,"KIF3A, AC004039.1","Atopic asthma","atopic asthma",GCST009850,31669095,"Zhu Z",5:132698896
rs249677-<b>?</b>,"8 x 10-10",,NR,'-,'-,'-,"NDFIP1, AC091825.3","Atopic asthma","atopic asthma",GCST009850,31669095,"Zhu Z",5:142159774
rs17513503-<b>?</b>,"3 x 10-20",,NR,'-,'-,'-,"SLC25A46, AC008782.1","Atopic asthma","atopic asthma",GCST009850,31669095,"Zhu Z",5:110810746
rs6886061-<b>?</b>,"1 x 10-13",,NR,'-,'-,'-,TMEM232,"Atopic asthma","atopic asthma",GCST009850,31669095,"Zhu Z",5:110660766
rs73786772-<b>?</b>,"4 x 10-22",,NR,'-,'-,'-,"WDR36, AC010468.2","Atopic asthma","atopic asthma",GCST009850,31669095,"Zhu Z",5:111136093
rs2289276-<b>?</b>,"2 x 10-11",,NR,'-,'-,'-,TSLP,"Atopic asthma","atopic asthma",GCST009850,31669095,"Zhu Z",5:111071809
rs10061842-<b>?</b>,"5 x 10-8",,NR,'-,'-,'-,"AC010395.1, TSLP","Atopic asthma","atopic asthma",GCST009850,31669095,"Zhu Z",5:111067157
rs114442993-<b>?</b>,"1 x 10-9",,NR,'-,'-,'-,WDR36,"Atopic asthma","atopic asthma",GCST009850,31669095,"Zhu Z",5:111096199
rs1837253-<b>?</b>,"2 x 10-35",,NR,'-,'-,'-,"TSLP, AC010395.1","Atopic asthma","atopic asthma",GCST009850,31669095,"Zhu Z",5:111066174
rs2070901-<b>?</b>,"6 x 10-9",,NR,'-,'-,'-,FCER1G,"Atopic asthma","atopic asthma",GCST009850,31669095,"Zhu Z",1:161215268
rs61816761-<b>?</b>,"2 x 10-48",,NR,'-,'-,'-,"FLG, FLG-AS1","Atopic asthma","atopic asthma",GCST009850,31669095,"Zhu Z",1:152313385
rs72702900-<b>?</b>,"9 x 10-21",,NR,'-,'-,'-,"LCE1D, LCE1C","Atopic asthma","atopic asthma",GCST009850,31669095,"Zhu Z",1:152799487
rs12123821-<b>?</b>,"2 x 10-34",,NR,'-,'-,'-,"FLG-AS1, AL589986.2","Atopic asthma","atopic asthma",GCST009850,31669095,"Zhu Z",1:152206676
rs7523907-<b>?</b>,"4 x 10-11",,NR,'-,'-,'-,"CD247, AL359962.2, AL359962.1, AL359962.3","Atopic asthma","atopic asthma",GCST009850,31669095,"Zhu Z",1:167458010
rs71625139-<b>?</b>,"2 x 10-8",,NR,'-,'-,'-,RORC,"Atopic asthma","atopic asthma",GCST009850,31669095,"Zhu Z",1:151829917
rs55875222-<b>?</b>,"2 x 10-14",,NR,'-,'-,'-,"TDRKH, TDRKH-AS1","Atopic asthma","atopic asthma",GCST009850,31669095,"Zhu Z",1:151790858
rs12144049-<b>?</b>,"2 x 10-21",,NR,'-,'-,'-,"LCE5A, FLG-AS1","Atopic asthma","atopic asthma",GCST009850,31669095,"Zhu Z",1:152468434
rs138726443-<b>?</b>,"4 x 10-10",,NR,'-,'-,'-,"FLG, FLG-AS1","Atopic asthma","atopic asthma",GCST009850,31669095,"Zhu Z",1:152307547
rs1552994-<b>?</b>,"5 x 10-11",,NR,'-,'-,'-,FLG-AS1,"Atopic asthma","atopic asthma",GCST009850,31669095,"Zhu Z",1:152198985
rs61815704-<b>?</b>,"2 x 10-21",,NR,'-,'-,'-,"IVL, LINC01527","Atopic asthma","atopic asthma",GCST009850,31669095,"Zhu Z",1:152921415
rs2065206-<b>?</b>,"2 x 10-8",,NR,'-,'-,'-,"LCE1D, LCE1C","Atopic asthma","atopic asthma",GCST009850,31669095,"Zhu Z",1:152798817
rs4845604-<b>?</b>,"1 x 10-12",,NR,'-,'-,'-,RORC,"Atopic asthma","atopic asthma",GCST009850,31669095,"Zhu Z",1:151829204
rs3828058-<b>?</b>,"2 x 10-11",,NR,'-,'-,'-,RORC,"Atopic asthma","atopic asthma",GCST009850,31669095,"Zhu Z",1:151813805
rs2230624-<b>?</b>,"9 x 10-10",,NR,'-,'-,'-,TNFRSF8,"Atopic asthma","atopic asthma",GCST009850,31669095,"Zhu Z",1:12115601
rs4491070-<b>?</b>,"3 x 10-8",,NR,'-,'-,'-,TNFRSF8,"Atopic asthma","atopic asthma",GCST009850,31669095,"Zhu Z",1:12069994
rs11811856-<b>?</b>,"7 x 10-10",,NR,'-,'-,'-,TNFSF4,"Atopic asthma","atopic asthma",GCST009850,31669095,"Zhu Z",1:173202534
rs2422254-<b>?</b>,"6 x 10-9",,NR,'-,'-,'-,AL031599.1,"Atopic asthma","atopic asthma",GCST009850,31669095,"Zhu Z",1:172810693
rs1917534-<b>?</b>,"3 x 10-8",,NR,'-,'-,'-,"POU2F1, CD247","Atopic asthma","atopic asthma",GCST009850,31669095,"Zhu Z",1:167428034
rs4286272-<b>?</b>,"4 x 10-14",,NR,'-,'-,'-,RFTN2,"Atopic asthma","atopic asthma",GCST009850,31669095,"Zhu Z",2:197670954
rs6755198-<b>?</b>,"3 x 10-8",,NR,'-,'-,'-,"AP1S3, AC093884.1","Atopic asthma","atopic asthma",GCST009850,31669095,"Zhu Z",2:223799091
rs34143604-<b>?</b>,"9 x 10-9",,NR,'-,'-,'-,THAP4,"Atopic asthma","atopic asthma",GCST009850,31669095,"Zhu Z",2:241622595
rs6681149-<b>G</b>,"3 x 10-13",,NR,'-,'-,'-,COL16A1,"Adult onset asthma and/or BMI","adult onset asthma, body mass index",GCST009868,31669095,"Zhu Z",1:31699492
rs72836344-<b>G</b>,"4 x 10-9",,NR,'-,'-,'-,"MIR4435-2HG, ACOXL","Adult onset asthma and/or BMI","adult onset asthma, body mass index",GCST009868,31669095,"Zhu Z",2:111117122
rs12493005-<b>C</b>,"2 x 10-11",,NR,'-,'-,'-,TBL1XR1,"Adult onset asthma and/or BMI","adult onset asthma, body mass index",GCST009868,31669095,"Zhu Z",3:177195111
rs7670374-<b>G</b>,"5 x 10-10",,NR,'-,'-,'-,AC097522.2,"Adult onset asthma and/or BMI","adult onset asthma, body mass index",GCST009868,31669095,"Zhu Z",4:52437952
rs6900923-<b>C</b>,"5 x 10-10",,NR,'-,'-,'-,PLAGL1,"Adult onset asthma and/or BMI","adult onset asthma, body mass index",GCST009868,31669095,"Zhu Z",6:143977063
rs4759229-<b>A</b>,"2 x 10-23",,NR,'-,'-,'-,ERBB3,"Adult onset asthma and/or BMI","adult onset asthma, body mass index",GCST009868,31669095,"Zhu Z",12:56080696
rs111365807-<b>G</b>,"7 x 10-12",,NR,'-,'-,'-,UNC13D,"Adult onset asthma and/or BMI","adult onset asthma, body mass index",GCST009868,31669095,"Zhu Z",17:75829382
rs6427082-<b>T</b>,"3 x 10-13",,NR,'-,'-,'-,POU2F1,"Adult onset asthma and/or BMI","adult onset asthma, body mass index",GCST009868,31669095,"Zhu Z",1:167326601
rs7523907-<b>?</b>,"5 x 10-8",,NR,'-,'-,'-,"CD247, AL359962.2, AL359962.1, AL359962.3","Asthma (adult onset)","adult onset asthma",GCST009842,31669095,"Zhu Z",1:167458010
rs3767745-<b>?</b>,"2 x 10-10",,NR,'-,'-,'-,PTPRC,"Asthma (adult onset)","adult onset asthma",GCST009842,31669095,"Zhu Z",1:198688721
rs34290285-<b>?</b>,"8 x 10-20",,NR,'-,'-,'-,D2HGDH,"Asthma (adult onset)","adult onset asthma",GCST009842,31669095,"Zhu Z",2:241759225
rs59185885-<b>?</b>,"5 x 10-27",,NR,'-,'-,'-,"IL18R1, IL1RL1","Asthma (adult onset)","adult onset asthma",GCST009842,31669095,"Zhu Z",2:102327786
rs1468790-<b>?</b>,"1 x 10-14",,NR,'-,'-,'-,SLC9A4,"Asthma (adult onset)","adult onset asthma",GCST009842,31669095,"Zhu Z",2:102475982
rs10167431-<b>?</b>,"4 x 10-14",,NR,'-,'-,'-,IL1RL2,"Asthma (adult onset)","adult onset asthma",GCST009842,31669095,"Zhu Z",2:102236342
rs12479210-<b>?</b>,"3 x 10-33",,NR,'-,'-,'-,"IL1RL1, IL18R1","Asthma (adult onset)","adult onset asthma",GCST009842,31669095,"Zhu Z",2:102332701
rs13022699-<b>?</b>,"4 x 10-8",,NR,'-,'-,'-,"AC093894.2, MAP4K4","Asthma (adult onset)","adult onset asthma",GCST009842,31669095,"Zhu Z",2:101671373
rs74263644-<b>?</b>,"1 x 10-9",,NR,'-,'-,'-,"SLC9A4, SLC9A2","Asthma (adult onset)","adult onset asthma",GCST009842,31669095,"Zhu Z",2:102578099
rs1474011-<b>?</b>,"1 x 10-9",,NR,'-,'-,'-,"AC092484.1, RPL6P5","Asthma (adult onset)","adult onset asthma",GCST009842,31669095,"Zhu Z",2:145360501
rs4491851-<b>?</b>,"1 x 10-9",,NR,'-,'-,'-,GLB1,"Asthma (adult onset)","adult onset asthma",GCST009842,31669095,"Zhu Z",3:33042493
rs62296577-<b>?</b>,"1 x 10-10",,NR,'-,'-,'-,TBL1XR1,"Asthma (adult onset)","adult onset asthma",GCST009842,31669095,"Zhu Z",3:177131952
rs75355720-<b>?</b>,"9 x 10-10",,NR,'-,'-,'-,"ITK, AC010609.1","Asthma (adult onset)","adult onset asthma",GCST009842,31669095,"Zhu Z",5:157209701
rs3749833-<b>?</b>,"2 x 10-15",,NR,'-,'-,'-,"IRF1-AS1, AC116366.3","Asthma (adult onset)","adult onset asthma",GCST009842,31669095,"Zhu Z",5:132463934
rs115008099-<b>?</b>,"2 x 10-15",,NR,'-,'-,'-,TH2LCRR,"Asthma (adult onset)","adult onset asthma",GCST009842,31669095,"Zhu Z",5:132656189
rs60153262-<b>?</b>,"7 x 10-12",,NR,'-,'-,'-,TH2LCRR,"Asthma (adult onset)","adult onset asthma",GCST009842,31669095,"Zhu Z",5:132649143
rs1821263-<b>?</b>,"5 x 10-8",,NR,'-,'-,'-,"NDFIP1, AC005740.2","Asthma (adult onset)","adult onset asthma",GCST009842,31669095,"Zhu Z",5:142088689
rs73786772-<b>?</b>,"6 x 10-11",,NR,'-,'-,'-,"WDR36, AC010468.2","Asthma (adult onset)","adult onset asthma",GCST009842,31669095,"Zhu Z",5:111136093
rs1837253-<b>?</b>,"4 x 10-19",,NR,'-,'-,'-,"TSLP, AC010395.1","Asthma (adult onset)","adult onset asthma",GCST009842,31669095,"Zhu Z",5:111066174
rs76072474-<b>?</b>,"1 x 10-11",,NR,'-,'-,'-,GPANK1,"Asthma (adult onset)","adult onset asthma",GCST009842,31669095,"Zhu Z",6:31663557
rs3130490-<b>?</b>,"2 x 10-14",,NR,'-,'-,'-,VWA7,"Asthma (adult onset)","adult onset asthma",GCST009842,31669095,"Zhu Z",6:31771343
rs140302846-<b>?</b>,"7 x 10-13",,NR,'-,'-,'-,"HLA-DRB9, HLA-DRA","Asthma (adult onset)","adult onset asthma",GCST009842,31669095,"Zhu Z",6:32455739
rs9268813-<b>?</b>,"1 x 10-17",,NR,'-,'-,'-,"HLA-DRA, HLA-DRB9","Asthma (adult onset)","adult onset asthma",GCST009842,31669095,"Zhu Z",6:32456817
rs140545087-<b>?</b>,"5 x 10-9",,NR,'-,'-,'-,"HLA-DOA, BRD2","Asthma (adult onset)","adult onset asthma",GCST009842,31669095,"Zhu Z",6:32992717
rs6454805-<b>?</b>,"2 x 10-15",,NR,'-,'-,'-,BACH2,"Asthma (adult onset)","adult onset asthma",GCST009842,31669095,"Zhu Z",6:90276634
rs3104369-<b>?</b>,"1 x 10-11",,NR,'-,'-,'-,HLA-DQA1,"Asthma (adult onset)","adult onset asthma",GCST009842,31669095,"Zhu Z",6:32634705
rs35789108-<b>?</b>,"2 x 10-23",,NR,'-,'-,'-,HLA-DRB1,"Asthma (adult onset)","adult onset asthma",GCST009842,31669095,"Zhu Z",6:32582349
rs12661352-<b>?</b>,"3 x 10-9",,NR,'-,'-,'-,"HLA-DQB2, HLA-DOB","Asthma (adult onset)","adult onset asthma",GCST009842,31669095,"Zhu Z",6:32777750
rs4713555-<b>?</b>,"7 x 10-13",,NR,'-,'-,'-,"HLA-DQA1, HLA-DRB1","Asthma (adult onset)","adult onset asthma",GCST009842,31669095,"Zhu Z",6:32607747
rs566952760-<b>?</b>,"2 x 10-10",,NR,'-,'-,'-,"HLA-DRB1, HLA-DQA1","Asthma (adult onset)","adult onset asthma",GCST009842,31669095,"Zhu Z",6:32625016
rs9275282-<b>?</b>,"1 x 10-14",,NR,'-,'-,'-,"MTCO3P1, HLA-DQB1","Asthma (adult onset)","adult onset asthma",GCST009842,31669095,"Zhu Z",6:32695197
rs6689-<b>?</b>,"3 x 10-9",,NR,'-,'-,'-,"HLA-DQB1-AS1, HLA-DQB1","Asthma (adult onset)","adult onset asthma",GCST009842,31669095,"Zhu Z",6:32659923
rs9272426-<b>?</b>,"1 x 10-33",,NR,'-,'-,'-,HLA-DQA1,"Asthma (adult onset)","adult onset asthma",GCST009842,31669095,"Zhu Z",6:32637412
rs28688825-<b>?</b>,"9 x 10-24",,NR,'-,'-,'-,"HLA-DQA1, HLA-DRB1","Asthma (adult onset)","adult onset asthma",GCST009842,31669095,"Zhu Z",6:32619380
rs34084957-<b>?</b>,"3 x 10-12",,NR,'-,'-,'-,HLA-DRB1,"Asthma (adult onset)","adult onset asthma",GCST009842,31669095,"Zhu Z",6:32586627
rs9266629-<b>?</b>,"4 x 10-9",,NR,'-,'-,'-,"ZDHHC20P2, FGFR3P1","Asthma (adult onset)","adult onset asthma",GCST009842,31669095,"Zhu Z",6:31379045
rs2001628-<b>?</b>,"1 x 10-12",,NR,'-,'-,'-,AC034114.2,"Asthma (adult onset)","adult onset asthma",GCST009842,31669095,"Zhu Z",8:80390804
rs10091870-<b>?</b>,"4 x 10-9",,NR,'-,'-,'-,AC034114.2,"Asthma (adult onset)","adult onset asthma",GCST009842,31669095,"Zhu Z",8:80406657
rs7047575-<b>?</b>,"3 x 10-9",,NR,'-,'-,'-,"ERMP1, AK4P4","Asthma (adult onset)","adult onset asthma",GCST009842,31669095,"Zhu Z",9:5841438
rs7851246-<b>?</b>,"2 x 10-19",,NR,'-,'-,'-,"TPD52L3, UHRF2","Asthma (adult onset)","adult onset asthma",GCST009842,31669095,"Zhu Z",9:6362365
rs146597587-<b>?</b>,"2 x 10-9",,NR,'-,'-,'-,IL33,"Asthma (adult onset)","adult onset asthma",GCST009842,31669095,"Zhu Z",9:6255967
rs992969-<b>?</b>,"8 x 10-30",,NR,'-,'-,'-,"IL33, GTF3AP1","Asthma (adult onset)","adult onset asthma",GCST009842,31669095,"Zhu Z",9:6209697
rs76962799-<b>?</b>,"6 x 10-15",,NR,'-,'-,'-,"GTF3AP1, AL162384.1","Asthma (adult onset)","adult onset asthma",GCST009842,31669095,"Zhu Z",9:6187132
rs115053934-<b>?</b>,"1 x 10-8",,NR,'-,'-,'-,KIAA2026,"Asthma (adult onset)","adult onset asthma",GCST009842,31669095,"Zhu Z",9:5950583
rs10975413-<b>?</b>,"8 x 10-18",,NR,'-,'-,'-,AL162384.1,"Asthma (adult onset)","adult onset asthma",GCST009842,31669095,"Zhu Z",9:6049843
rs477771-<b>?</b>,"2 x 10-9",,NR,'-,'-,'-,GATA3,"Asthma (adult onset)","adult onset asthma",GCST009842,31669095,"Zhu Z",10:8061096
rs12722502-<b>?</b>,"3 x 10-10",,NR,'-,'-,'-,IL2RA,"Asthma (adult onset)","adult onset asthma",GCST009842,31669095,"Zhu Z",10:6051176
rs17406680-<b>?</b>,"2 x 10-12",,NR,'-,'-,'-,"LINC00709, AC044784.1","Asthma (adult onset)","adult onset asthma",GCST009842,31669095,"Zhu Z",10:9166241
rs72782676-<b>?</b>,"6 x 10-11",,NR,'-,'-,'-,"AC044784.1, LINC00709","Asthma (adult onset)","adult onset asthma",GCST009842,31669095,"Zhu Z",10:8990592
rs962992-<b>?</b>,"2 x 10-34",,NR,'-,'-,'-,"AC044784.1, LINC00709","Asthma (adult onset)","adult onset asthma",GCST009842,31669095,"Zhu Z",10:9011110
rs12413578-<b>?</b>,"5 x 10-26",,NR,'-,'-,'-,"AC044784.1, LINC00709","Asthma (adult onset)","adult onset asthma",GCST009842,31669095,"Zhu Z",10:9007290
rs2589561-<b>?</b>,"4 x 10-25",,NR,'-,'-,'-,"AC044784.1, LINC00709","Asthma (adult onset)","adult onset asthma",GCST009842,31669095,"Zhu Z",10:9004682
